Type of ball hit;Side of the hit;First sample;Last Sample;Classification;Environment;Video Name;;
racket;2;57080;72250;True;indoors;padel_1.mp4;  0:01.294;  0:01.638
racket;1;98037;122978;True;;;  0:02.223;  0:02.788
racket;2;167373;186964;True;;;  0:03.795;  0:04.239
floor;1;232898;252302;False;;;  0:05.281;  0:05.721
racket;1;259617;271215;True;;;  0:05.887;  0:06.150
floor;2;347155;367088;False;;;  0:07.872;  0:08.324
racket;2;380462;397040;True;;;  0:08.627;  0:09.003
racket;1;399421;440949;True;;;  0:09.057;  0:09.998
racket;2;464594;479125;True;;;  0:10.535;  0:10.864
racket;1;531859;557636;True;;;  0:12.060;  0:12.644
glass;2;567920;577313;False;;;  0:12.878;  0:13.090
racket;2;601789;608977;True;;;  0:13.646;  0:13.809
racket;1;631115;647126;True;;;  0:14.311;  0:14.674
racket;2;698833;710177;True;;;  0:15.846;  0:16.103
racket;1;765003;785068;True;;;  0:17.347;  0:17.802
floor;2;789154;806773;True;;;  0:17.894;  0:18.294
racket;2;812057;839091;True;;;  0:18.414;  0:19.027
racket;1;845329;862970;True;;;  0:19.168;  0:19.568
racket;2;914546;939683;True;;;  0:20.738;  0:21.308
racket;1;1026990;1039996;True;;;  0:23.287;  0:25.198
racket;2;1111236;1131329;True;;;  0:25.198;  0:25.653
racket;1;1192464;1220512;True;;;  0:27.040;  0:27.676
