Type of hit on the ball;Side of the hit;First sample;Last Sample;Classification;Environment;Video Name
racket;1;19385;41764;true;indoors;padel_36.mp4
racket;2;129403;147290;true;  0:03.339;
racket;1;170618;181378;true;  0:03.868;
net;1;194157;205143;false;  0:04.402;  0:04.651
racket;2;620136;644412;true;  0:14.062;  0:14.612
racket;1;665917;674742;true;  0:15.100;  0:15.300
racket;2;898468;928086;true;  0:20.373;  0:21.045
racket;1;951253;993753;true;  0:21.570;  0:22.534
racket;2;1077994;1105941;true;  0:24.444;  0:25.078
racket;1;1126569;1147730;true;  0:25.545;  0:26.025
grid;2;1157756;1239236;false;  0:26.252;  0:28.100
racket;1;1541779;1569774;true;  0:34.960;  0:35.595
racket;2;1591069;1613878;true;  0:36.078;  0:36.595
racket;1;1627542;1656411;true;  0:36.905;  0:37.560
racket;2;2021278;2048049;true;  0:45.833;  0:46.441
racket;1;2068831;2101608;true;  0:46.912;  0:47.655
racket;2;2125323;2146702;true;  0:48.193;  0:48.678
racket;1;2194265;2214768;true;  0:49.756;  0:50.221
racket;2;2336138;2363682;true;  0:52.973;  0:53.598
