Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;2;27518;62793;  0:00.623;  0:01.423;true;indoors;padel_49.mp4
racket;1;79521;130231;  0:01.803;  0:02.953;true;;
racket;2;767957;786625;  0:17.413;  0:17.837;true;;
net;2;788057;811843;  0:17.869;  0:18.409;false;;
racket;2;907490;935728;  0:20.578;  0:21.218;true;;
racket;1;968775;996640;  0:21.967;  0:22.599;true;;
racket;2;1043274;1072587;  0:23.657;  0:24.321;true;;
racket;1;1130189;1148436;  0:25.627;  0:26.041;true;;
racket;2;1262230;1280660;  0:28.621;  0:29.039;true;;
racket;1;1316921;1355611;  0:29.862;  0:30.739;true;;
glass;2;1356781;1373555;  0:30.766;  0:31.146;false;;
racket;2;1985405;2014541;  0:45.020;  0:45.681;true;;
racket;1;2040772;2066875;  0:46.276;  0:46.867;true;;
racket;2;2092997;2120907;  0:47.460;  0:48.093;true;;
grid;1;2137439;2159205;  0:48.468;  0:48.961;false;;
racket;1;2159423;2188005;  0:48.966;  0:49.614;true;;
racket;2;2282396;2298300;  0:51.755;  0:52.115;true;;
grid;1;2503832;2529395;  0:56.776;  0:57.355;false;;
