Type of ball hit;Side of the hit;First sample;Last Sample;Classification;Environment;Video Name
racket;1;101786;109000;True;outdoors;paddle_0
floor;2;133911;144557;False;;
racket;2;147480;173395;True;;
racket;1;181877;199925;True;;
floor;2;221325;237127;False;;
racket;2;242721;265641;True;;
racket;1;322991;332504;True;;
glass;2;347255;356740;False;;
glass;2;356741;377051;False;;
racket;2;377696;389934;True;00:08.6;
racket;1;411366;424935;True;;
racket;2;474523;501810;True;;
floor;1;549392;561360;False;;
glass;1;561361;581904;False;;
racket;1;591215;602045;True;00:13.2;
racket;2;656475;682839;True;;
racket;1;695007;721880;True;;
racket;2;726218;743078;True;;
racket;1;775718;779495;True;;
floor;2;817601;839155;False;;
racket;2;840064;856151;True;;
racket;1;902049;926262;True;;
racket;2;1045453;1074382;True;;
glass;1;1083588;1100829;False;00:24.5;
racket;1;1103689;1116588;True;;
floor;2;1156922;1182788;False;;
racket;2;1184279;1206535;True;;
racket;1;1259960;1282668;True;00:28.5;
floor;2;1285311;1304420;False;;
racket;2;1308165;1326471;True;0:29.663;
racket;1;1378902;1400320;True;0:31.2;
floor;2;1403482;1412877;False;;
racket;2;1429692;1453784;True;;
racket;1;1505574;1528039;True;00:34.1;
floor;2;1562344;1580874;False;;
racket;2;1581491;1598466;True;;
racket;1;1651189;1668070;True;00:37.4;
floor;2;1692625;1702998;False;;
racket;2;1703903;1720616;True;;
racket;1;1777213;1788942;True;00:40.1;
floor;2;1805425;1821821;False;;
racket;2;1822735;1849311;True;;
racket;1;1904512;1921214;True;00:42.9;
floor;2;1934782;1945890;False;;
racket;2;1947066;1966531;True;;
racket;1;1978982;1988773;True;00:44.9;
floor;2;1988899;1997237;False;;
racket;2;2016967;2039139;True;;
racket;1;2088598;2103446;True;00:47.2;
floor;2;2112390;2119005;False;;
racket;2;2120030;2143709;True;0:48.073;
racket;1;2162316;2177217;True;0:49.0;
racket;2;2201279;2218016;True;;
racket;1;2280123;2298815;True;0:51.6;
floor;2;2313911;2322209;False;;
glass;2;2322481;2335649;False;;
glass;2;2335667;2352236;False;;
racket;2;2353337;2366477;True;;
racket;1;2422179;2439502;True;;
floor;2;2449988;2458582;False;;
fence;2;2460119;2484339;False;;
racket;2;2487400;2495243;True;;
net;2;2496060;2513699;False;;
