Type of hit on the ball;Side of the hit;First sample;Last Sample;Classification;Environment;Video Name;;
racket;2;125479;135228;True;indoors;padel_2.mp4;  0:02.845;  0:03.066
racket;1;201768;213449;True;;;  0:04.575;  0:04.840
racket;2;228841;244446;True;;;  0:05.189;  0:05.542
floor;1;275843;286676;False;;;  0:06.254;  0:06.500
racket;1;294709;309085;True;;;  0:06.682;  0:07.008
floor;2;386918;398733;False;;;  0:08.773;  0:09.041
racket;2;436492;468341;True;;;  0:09.897;  0:10.619
racket;1;505779;534200;True;;;  0:11.468;  0:12.113
glass;2;554731;566364;False;;;  0:12.578;  0:12.842
racket;2;583379;599301;True;;;  0:13.228;  0:13.589
racket;1;608938;626199;True;;;  0:13.808;  0:14.199
racket;2;646374;665473;True;;;  0:14.657;  0:15.090
racket;1;667157;680788;True;;;  0:15.128;  0:15.437
racket;2;776747;793982;True;;;  0:17.613;  0:18.004
racket;1;883523;899670;True;;;  0:20.034;  0:20.400
racket;2;910584;929197;True;;;  0:20.648;  0:21.070
racket;1;987801;1001298;True;;;  0:22.399;  0:22.705
racket;2;1020636;1042370;True;;;  0:23.143;  0:23.636
floor;1;1096528;1103800;False;;;  0:24.864;  0:25.029
