hit_ball_type;hit_ball_side;hit_ball_sample_begin;hit_ball_sample_end;class;environment;video_name
self_warm_up;2;196267;205914;false;indoor;padel_34.mp4
self_warm_up;2;213134;222533;false;;
self_warm_up;2;229355;240473;false;;
self_warm_up;2;245661;255310;false;;
self_warm_up;2;260898;269963;false;;
self_warm_up;2;276498;295431;false;;
racket;2;387741;420135;true;;
racket;1;445224;469279;true;;
racket;2;506346;539521;true;;
racket;1;540120;560235;true;;
racket;2;619165;652611;true;;
glass;1;661463;681617;false;;
racket;1;687929;718577;true;;
racket;2;761337;792831;true;;
racket;1;839700;858080;true;;
racket;2;956230;974981;true;;
grid;2;975353;1015491;false;;
racket;1;1016948;1054172;true;;
racket;1;1334551;1353451;true;;
racket;2;1954496;1992500;true;;
racket;1;2010171;2040263;true;;
racket;2;2155840;2176617;true;;
racket;1;2249928;2275536;true;;
racket;2;2278012;2309580;true;;
racket;1;2392056;2417048;true;;
racket;2;2543697;2559564;true;;
