Type of hit on the ball;Side of the hit;First sample;Last Sample;Begin;End;Classification;Environment;Video Name
racket;1;23803;40752;  0:00.539;  0:00.924;true;indoors;padel_46.mp4
racket;2;480911;497928;  0:10.905;  0:11.290;true;;
racket;1;542686;566507;  0:12.305;  0:12.845;true;;
racket;2;619870;645439;  0:14.056;  0:14.635;true;;
racket;1;667429;679630;  0:15.134;  0:15.411;true;;
racket;;687916;691932;  0:15.599;  0:15.690;true;;
racket;2;726856;747554;  0:16.481;  0:16.951;true;;
racket;1;766326;783842;  0:17.377;  0:17.774;true;;
racket;2;851201;873700;  0:19.301;  0:19.811;true;;
racket;1;936199;946564;  0:21.229;  0:21.464;true;;
racket;2;1557338;1571815;  0:35.313;  0:35.642;true;;
net;2;1575517;1605399;  0:35.726;  0:36.403;false;;
racket;2;2016423;2045215;  0:45.723;  0:46.376;true;;
racket;1;2073185;2098159;  0:47.011;  0:47.577;true;;
racket;2;2202933;2220876;  0:49.953;  0:50.359;true;;
